,symbol,name,exchange,assetType,ipoDate,delistingDate,status
0,A,Agilent Technologies Inc,NYSE,Stock,1999-11-18,,Active
1,AA,Alcoa Corp,NYSE,Stock,2016-10-18,,Active
2,AAA,ALTERNATIVE ACCESS FIRST PRIORITY CLO BOND ETF ,NYSE ARCA,ETF,2020-09-09,,Active
3,AAAU,Goldman Sachs Physical Gold ETF,BATS,ETF,2018-08-15,,Active
4,AACG,ATA Creativity Global,NASDAQ,Stock,2008-01-29,,Active
5,AACT,Ares Acquisition Corporation II - Class A,NYSE,Stock,2023-06-12,,Active
6,AACT-U,Ares Acquisition Corporation II - Units (1 Ord Class A & 1/2 War),NYSE,Stock,2023-04-21,,Active
7,AACT-WS,Ares Acquisition Corporation II - Warrants (01/01/9999),NYSE,Stock,2023-06-12,,Active
8,AADI,Aadi Bioscience Inc,NASDAQ,Stock,2017-08-08,,Active
9,AADR,ADVISORSHARES DORSEY WRIGHT ADR ETF ,NASDAQ,ETF,2010-07-21,,Active
10,AAL,American Airlines Group Inc,NASDAQ,Stock,2005-09-27,,Active
11,AAM,AA Mission Acquisition Corp - Class A,NYSE,Stock,2024-09-16,,Active
12,AAM-U,AA Mission Acquisition Corp - Units (1 Ord Share Class A & 1/2 War),NYSE,Stock,2024-08-01,,Active
13,AAM-WS,AA Mission Acquisition Corp Warrants each whole warrant entitles the holder to purchase one Class A ordinary share at a price of 11.50 per share,NYSE,Stock,2024-09-16,,Active
14,AAME,Atlantic American Corp,NASDAQ,Stock,1984-09-07,,Active
15,AAMI,BrightSphere Investment Group Inc,NYSE,Stock,2018-03-26,,Active
16,AAOI,Applied Optoelectronics Inc,NASDAQ,Stock,2013-09-26,,Active
17,AAON,AAON Inc,NASDAQ,Stock,1992-12-16,,Active
18,AAP,Advance Auto Parts Inc,NYSE,Stock,2001-11-29,,Active
19,AAPB,GRANITESHARES 1.75X LONG AAPL DAILY ETF ,NASDAQ,ETF,2022-08-09,,Active
20,AAPD,DIREXION DAILY AAPL BEAR 1X SHARES ,NASDAQ,ETF,2022-08-09,,Active
21,AAPL,Apple Inc,NASDAQ,Stock,1980-12-12,,Active
22,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,BATS,ETF,2024-04-01,,Active
23,AAPU,DIREXION DAILY AAPL BULL 1.5X SHARES ,NASDAQ,ETF,2022-08-09,,Active
