symbol,avg_sentiment,mention_count,bullish_ratio,total_score,timeframe_days
A,0.41834818588469186,8048,0.7208001988071571,194971,1
AAPL,0.20575,4,1.0,3,1
AB,0.74395,2,1.0,3,1
ABBV,0.2388,2,1.0,31,1
ABSI,0.1591,2,0.5,10,1
AC,-0.9792,1,0.0,5,1
ACCD,0.0,1,0.0,3,1
ACHV,0.7762,1,1.0,0,1
ACOG,0.3306,3,0.3333333333333333,4,1
ACON,0.0,1,0.0,1,1
ACT,0.5647363636363637,22,0.8181818181818182,2825,1
ACXP,0.0,1,0.0,0,1
ADD,0.254475,144,0.6111111111111112,724,1
ADI,-0.4526,1,0.0,5,1
ADM,0.0,2,0.0,2,1
ADP,0.41402692307692307,26,0.6923076923076923,361,1
AEON,0.8829,1,1.0,3,1
AG,-0.14229999999999998,2,0.5,130,1
AGI,-0.06381666666666667,6,0.5,10,1
AGO,0.41113496503496505,143,0.7902097902097902,3892,1
AHH,-0.038349999999999995,2,0.5,4,1
AI,0.4071185022026431,227,0.6960352422907489,2797,1
AIM,0.7306333333333334,6,1.0,740,1
AIR,0.7333500000000001,12,0.8333333333333334,90,1
AKA,0.3674181818181818,11,0.6363636363636364,46,1
AL,-0.5994,1,0.0,1,1
ALL,0.26382417794970986,1034,0.6228239845261122,30655,1
ALLY,0.6070333333333334,3,0.6666666666666666,3,1
ALOT,0.3907611111111111,18,0.7222222222222222,161,1
ALTS,-0.7906,1,0.0,4,1
ALUR,0.9098,1,1.0,1,1
AM,0.411490796460177,565,0.7115044247787611,24817,1
AMAT,-0.4526,1,0.0,5,1
AMC,0.37717999999999996,5,0.6,10,1
AMD,0.3215284482758621,116,0.6206896551724138,1005,1
AMPS,0.8205,1,1.0,3,1
AMPX,0.2829416666666667,12,0.5833333333333334,71,1
AMT,0.3612,1,1.0,2,1
AMZN,0.0,1,0.0,1,1
AN,0.4621942857142857,875,0.7531428571428571,14983,1
ANY,0.40381848428835493,541,0.7393715341959335,8387,1
API,0.169775,4,0.5,58,1
APLD,0.7003,2,1.0,2,1
APP,0.4164939393939394,33,0.6060606060606061,460,1
APPS,0.4814083333333334,12,0.75,216,1
APYX,0.0,1,0.0,1,1
ARBE,0.25738055555555556,72,0.4444444444444444,552,1
ARCC,0.2388,2,1.0,31,1
ARCH,0.7013,1,1.0,45,1
ARE,0.3174462890625,2048,0.64599609375,51009,1
ARM,0.400325,4,0.75,7,1
AS,0.4950191176470588,1360,0.7764705882352941,45878,1
ASML,0.37956666666666666,12,0.5833333333333334,-8,1
ASNS,0.2732,1,1.0,4,1
ASTS,-0.4404,1,0.0,6,1
ATHS,-0.025599999999999994,3,0.3333333333333333,29,1
ATOM,0.6912333333333334,3,1.0,10,1
ATR,-0.6945,1,0.0,1,1
AUR,0.5574,1,1.0,3,1
AURA,0.0,1,0.0,0,1
AUUD,0.47175,2,0.5,3,1
AVAV,-0.5023,2,0.0,4,1
AVGO,-0.613,4,0.0,32,1
AX,0.6322,1,1.0,1,1
AYRO,0.9901,7,1.0,7,1
AZUL,0.8974,1,1.0,5,1
B,0.07031875000000001,16,0.5625,29,1
BA,0.5423,1,1.0,7,1
BABA,0.9997,1,1.0,0,1
BACK,0.29804928229665073,418,0.6124401913875598,8312,1
BAER,-0.4028,2,0.0,6,1
BALL,0.0838,9,0.4444444444444444,61,1
BAND,-0.25275000000000003,2,0.5,25,1
BASE,0.2810529411764706,17,0.5882352941176471,5398,1
BBAI,0.5815375,8,0.75,55,1
BC,0.016758333333333316,12,0.4166666666666667,69,1
BE,0.3805971542685971,2003,0.6954568147778333,49988,1
BEAM,0.8011,1,1.0,9,1
BEAT,0.3153857142857143,35,0.6285714285714286,126,1
BEEM,0.8205,1,1.0,3,1
BEN,-0.28209999999999996,4,0.5,4,1
BEST,0.7232822580645161,248,0.9556451612903226,7048,1
BHAT,0.16919692307692308,65,0.4153846153846154,3074,1
BILL,0.436475,16,0.875,85,1
BIO,0.7717333333333333,9,0.8888888888888888,16,1
BIRD,-0.20366666666666663,9,0.2222222222222222,17,1
BJ,0.5106,1,1.0,1,1
BKYI,0.0,2,0.0,2,1
BLUE,0.3397470588235294,17,0.6470588235294118,149,1
BMY,0.8624,2,1.0,2,1
BN,0.2348,2,0.5,13,1
BNAI,0.0,1,0.0,2,1
BNGO,0.3928,4,0.75,7,1
BNRG,0.09106666666666667,3,0.3333333333333333,3,1
BODY,0.44106666666666666,3,1.0,45,1
BOLD,0.7676000000000001,2,1.0,4,1
BOLT,0.9901,1,1.0,9,1
BON,0.3182,1,1.0,2,1
BOOM,0.40403125,16,0.6875,60,1
BOOT,0.027100000000000013,2,0.5,34,1
BOW,0.5838,1,1.0,8,1
BOX,0.31245,2,0.5,18,1
BP,-0.3612,1,0.0,26,1
BRAG,0.8271,1,1.0,2,1
BRO,0.16618518518518519,81,0.49382716049382713,973,1
BROS,0.09112222222222223,9,0.3333333333333333,50,1
BTBT,0.8974,2,1.0,10,1
BTC,0.038962962962962956,27,0.5555555555555556,279,1
BUD,0.21906666666666666,3,0.6666666666666666,8,1
BW,0.0,1,0.0,9,1
BY,0.3913557142857143,630,0.692063492063492,10690,1
BYD,0.9411799999999999,5,1.0,411,1
C,0.46036,5,0.8,19,1
CALM,0.3523777777777778,9,0.8888888888888888,73,1
CAN,0.32629584942084944,1036,0.6640926640926641,28451,1
CAR,0.32485211267605635,71,0.7183098591549296,1056,1
CARD,0.37303333333333333,9,0.6666666666666666,259,1
CARE,0.43103939393939394,33,0.7575757575757576,305,1
CARS,0.14717142857142856,14,0.5,52,1
CART,0.04945000000000002,4,0.5,6,1
CASH,0.48930243902439025,205,0.8097560975609757,1195,1
CAT,-0.18234444444444445,9,0.1111111111111111,54,1
CAVA,0.3612,1,1.0,7,1
CBAT,0.64425,2,1.0,3,1
CC,0.56465,2,1.0,2,1
CCS,0.7264666666666667,3,1.0,4,1
CDNS,-0.4526,1,0.0,5,1
CDT,0.50964,5,0.6,19,1
CDTX,0.8205,1,1.0,3,1
CENT,0.41402,5,0.8,17,1
CERO,0.38076,10,0.6,15,1
CGBS,0.48864,5,0.6,2650,1
CHEF,0.9371,1,1.0,1,1
CHPT,0.248825,4,0.25,8,1
CKPT,0.8197,2,1.0,3,1
CLIR,0.148,2,0.5,3,1
CLX,0.7845,2,1.0,2,1
CME,0.2617,1,1.0,2,1
CMS,0.7579,1,1.0,2,1
CNET,0.5007,2,1.0,6,1
CNS,0.9968,3,1.0,12,1
CNSP,0.0,1,0.0,1,1
COIN,0.09208125,16,0.4375,97,1
COKE,-0.48035,2,0.0,5,1
COLD,0.14566923076923077,13,0.6153846153846154,101,1
COMP,0.21852,5,0.6,45,1
COOK,-0.24916666666666665,3,0.3333333333333333,25,1
